p1,p2,n
Dayotchanculle Upamecano,Raphaël Varane,12
Jules Koundé,Ousmane Dembélé,10
Jules Koundé,Raphaël Varane,9
Kylian Mbappé Lottin,Theo Bernard François Hernández,8
Dayotchanculle Upamecano,Theo Bernard François Hernández,6
Adrien Rabiot,Aurélien Djani Tchouaméni,6
Adrien Rabiot,Kylian Mbappé Lottin,5
Adrien Rabiot,Theo Bernard François Hernández,5
Antoine Griezmann,Jules Koundé,4
Aurélien Djani Tchouaméni,Raphaël Varane,3
Aurélien Djani Tchouaméni,Dayotchanculle Upamecano,3
Olivier Giroud,Ousmane Dembélé,3
Hugo Lloris,Raphaël Varane,3
Hugo Lloris,Olivier Giroud,3
Raphaël Varane,Theo Bernard François Hernández,3
Adrien Rabiot,Dayotchanculle Upamecano,3
Antoine Griezmann,Olivier Giroud,3
Hugo Lloris,Jules Koundé,2
Antoine Griezmann,Aurélien Djani Tchouaméni,2
Aurélien Djani Tchouaméni,Olivier Giroud,2
Aurélien Djani Tchouaméni,Ousmane Dembélé,2
Antoine Griezmann,Raphaël Varane,2
Adrien Rabiot,Ousmane Dembélé,2
Ousmane Dembélé,Theo Bernard François Hernández,1
Ousmane Dembélé,Raphaël Varane,1
Olivier Giroud,Theo Bernard François Hernández,1
Adrien Rabiot,Olivier Giroud,1
Jules Koundé,Theo Bernard François Hernández,1
Aurélien Djani Tchouaméni,Jules Koundé,1
Antoine Griezmann,Kylian Mbappé Lottin,1
Aurélien Djani Tchouaméni,Kylian Mbappé Lottin,1
Antoine Griezmann,Ousmane Dembélé,1
Dayotchanculle Upamecano,Ousmane Dembélé,1
Dayotchanculle Upamecano,Kylian Mbappé Lottin,1
Dayotchanculle Upamecano,Jules Koundé,1
Dayotchanculle Upamecano,Hugo Lloris,1
Antoine Griezmann,Theo Bernard François Hernández,1
Adrien Rabiot,Antoine Griezmann,1
