player,x,y,passes,betweenness
Nicolás Hernán Otamendi,38.279545454545456,23.35,44,0.344
Enzo Fernandez,56.135000000000005,36.5325,40,0.144
Cristian Gabriel Romero,33.90512820512821,53.34615384615385,39,0.089
Rodrigo Javier De Paul,59.15945945945946,59.24864864864865,37,0.189
Nahuel Molina Lucero,59.41428571428571,72.08571428571429,28,0.0
Nicolás Alejandro Tagliafico,58.56785714285714,7.335714285714286,28,0.1
Lionel Andrés Messi Cuccittini,71.58888888888889,51.096296296296295,27,0.111
Ángel Fabián Di María Hernández,79.884,11.448,25,0.011
Alexis Mac Allister,68.7375,23.84583333333333,24,0.039
Julián Álvarez,76.34615384615384,37.53846153846154,13,0.0
Damián Emiliano Martínez,12.641666666666666,43.96666666666667,12,0.0
